case_number,year,type,country,age,species_,month,fatal,sex
2013.10.28,2013,Unprovoked,australia,60,"Blacktip reef shark, 1m",Oct,N,F
2013.10.26.b,2013,Unprovoked,reunion,24,Thought to involve a bull shark,Oct,N,M
2013.10.24,2013,Unprovoked,australia,41,Wobbegong shark,Oct,N,M
2013.10.23,2013,Unprovoked,usa,45,"Whitetip reef shark, 4' to 6'",Oct,N,M
2013.10.20,2013,Unprovoked,usa,25,Tiger shark,Oct,N,M
2013.10.19,2013,Unprovoked,usa,6,Nurse shark?,Oct,N,M
2013.10.11,2013,Unprovoked,south africa,74,White shark,Oct,Y,M
2013.10.08,2013,Unprovoked,australia,55,White shark,Oct,N,M
2013.10.05,2013,Unprovoked,usa,45,"White shark, 8' to 10'",Oct,N,M
2013.09.14,2013,Unprovoked,usa,21,Bull shark,Sep,N,M
2013.09.12,2013,Unprovoked,usa,13,3' shark,Sep,N,F
2013.09.07.b,2013,Provoked,usa,43,3' shark,Sep,N,M
2013.09.07.a,2013,Unprovoked,usa,25,3' shark,Sep,N,M
2013.09.01.a,2013,Unprovoked,usa,9,4' shark,Sep,N,M
2013.08.14,2013,Unprovoked,usa,20,Tiger shark?,Aug,Y,F
2013.08.11,2013,Unprovoked,usa,10,"Bull shark, 8'",Aug,N,M
2013.08.05,2013,Unprovoked,usa,17,"Bull shark, 6' to 8'",Aug,N,M
2013.07.29.c,2013,Unprovoked,bahamas,40,6' shark,Jul,N,M
2013.07.29.a,2013,Unprovoked,usa,18,"Tiger shark, 8' to 10' ",Jul,N,M
2013.07.28.b,2013,Unprovoked,bahamas,64,Nurse shark,Jul,N,M
