year,type,country,age,species_,month,fatal,sex,age_clean
2015,Unprovoked,usa,25,"Blacktip or spinner shark, 4'",Jul,N,M,25
2015,Invalid,usa,35,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",Jul,,F,35
2015,Unprovoked,australia,46,"White shark, 3.9 to 4.2 m",Jul,Y,M,46
2015,Unprovoked,usa,38,"White shark, 7'",Jul,N,M,38
2015,Unprovoked,australia,52,White shark,Jul,N,M,52
2015,Unprovoked,australia,32,White shark,Jul,N,M,32
2015,Unprovoked,usa,68,6' to 7' shark,Jul,N,M,68
2015,Unprovoked,usa,12,4' to 5' shark,Jun,N,M,12
2015,Unprovoked,usa,18,Bull shark,Jun,N,M,18
2015,Unprovoked,south africa,19,White shark,Jun,N,M,19
2015,Unprovoked,south africa,23,"White shark, 2m to 3 m",Jun,N,M,23
2015,Unprovoked,usa,43,4' shark,Jun,N,M,43
2015,Unprovoked,usa,6,Sandtiger shark,Jun,N,M,6
2015,Invalid,australia,37,White shark,Jun,N,F,37
2015,Unprovoked,usa,16,Bull shark,Jun,N,M,16
2015,Unprovoked,usa,12,Bull shark,Jun,N,F,12
2015,Unprovoked,usa,13,4' shark,Jun,N,F,13
2015,Unprovoked,usa,11,"Bull shark, 5'",Jun,N,M,11
2015,Unprovoked,reunion,47,"Bull shark, 2.5 m",Jun,N,M,47
2015,Unprovoked,french polynesia,19,1m to 1.2 m shark,May,N,M,19
2015,Unprovoked,usa,18,5' shark,,N,M,18
2015,Unprovoked,south africa,29,"White shark, 3.5 m",May,N,M,29
2015,Unprovoked,usa,63,3- to 4-foot shark,Apr,N,M,63
2015,Unprovoked,australia,26,"White shark, 6 m",Apr,N,M,26
2015,Unprovoked,australia,71,"White shark, 3 m",Jun,N,M,71
2015,Unprovoked,reunion,13,Bull shark,Apr,Y,M,13
2015,Unprovoked,usa,70,Bull shark,Apr,N,M,70
2015,Invalid,brazil,23,No shark involvement,Mar,,M,23
2015,Unprovoked,usa,58,"Tiger shark, 8 to 12 feet",Mar,N,M,58
2015,Unprovoked,french polynesia,9,Blacktip shark,Mar,N,M,9
2015,Unprovoked,reunion,22,"Tiger shark, 3.5 m",Feb,Y,F,22
2015,Unprovoked,australia,41,3.5 to 4 m shark,Feb,Y,M,41
2015,Unprovoked,australia,35,2 m to  3 m shark,Feb,N,M,35
2015,Boating,australia,57,"Bull shark, 1.3 m",Jan,N,M,57
2015,Provoked,usa,20,4' shark,Jan,N,M,20
2015,Unprovoked,bahamas,34,White shark or oceanic whitetip shark,Jan,N,F,34
