,case_number,year,type,country,age,species_,month,fatal,sex,species_shark,edad_ataques
305,2015.05.20,2015.0,Unprovoked,usa,18.0,5' shark,,N,M,Unspecified,joven
306,2015.05.02,2015.0,Unprovoked,south africa,29.0,"White shark, 3.5 m",May,N,M,White,joven
307,2015.04.26,2015.0,Unprovoked,usa,63.0,3- to 4-foot shark,Apr,N,M,Unspecified,mayor
308,2015.04.25,2015.0,Unprovoked,australia,26.0,"White shark, 6 m",Apr,N,M,White,joven
309,2015.04.24.c,2015.0,Unprovoked,australia,28.70969899665552,"White shark, 3 m",Jun,N,M,White,mayor
310,2015.04.12,2015.0,Unprovoked,reunion,13.0,Bull shark,Apr,Y,M,Bull,joven
311,2015.04.03,2015.0,Unprovoked,usa,28.70969899665552,Bull shark,Apr,N,M,Bull,mayor
312,2015.03.31,2015.0,Invalid,brazil,23.0,No shark involvement,Mar,,M,Unspecified,joven
313,2015.03.18,2015.0,Unprovoked,usa,58.0,"Tiger shark, 8 to 12 feet",Mar,N,M,Tiger,mayor
314,2015.03.16,2015.0,Unprovoked,french polynesia,9.0,Blacktip shark,Mar,N,M,Unspecified,joven
315,2015.02.14,2015.0,Unprovoked,reunion,22.0,"Tiger shark, 3.5 m",Feb,Y,F,Tiger,joven
316,2015.02.09,2015.0,Unprovoked,australia,41.0,3.5 to 4 m shark,Feb,Y,M,Unspecified,adulto
317,2015.02.08,2015.0,Unprovoked,australia,35.0,2 m to  3 m shark,Feb,N,M,Unspecified,adulto
318,2015.01.30,2015.0,Boating,australia,57.0,"Bull shark, 1.3 m",Jan,N,M,Bull,adulto
319,2015.01.27,2015.0,Provoked,usa,20.0,4' shark,Jan,N,M,Unspecified,joven
320,2015.01.06,2015.0,Unprovoked,bahamas,34.0,White shark or oceanic whitetip shark,Jan,N,F,White,adulto
321,2015.01.03,2015.0,Unprovoked,south africa,15.0,"Raggedtooth shark, 1.3 m",Jan,N,M,Unspecified,joven
322,2014.12.29.a,2014.0,Unprovoked,australia,17.0,"White shark, 4 to 5 m",Dec,Y,M,White,joven
323,2014.12.28.b,2014.0,Unprovoked,usa,50.0,"White shark, 8' to 10'",Dec,N,M,White,adulto
324,2014.12.28.a,2014.0,Provoked,australia,,1.5 m shark,Dec,N,M,Unspecified,
325,2014.12.15,2014.0,Unprovoked,australia,17.0,Tiger shark,Dec,Y,M,Tiger,joven
326,2014.11.16,2014.0,Unprovoked,usa,44.0,2' shark,Nov,N,M,Unspecified,adulto
327,2014.11.13,2014.0,Unprovoked,usa,53.0,1.5 m shark,Nov,N,M,Unspecified,adulto
328,2014.10.31,2014.0,Unprovoked,usa,34.0,"Tiger shark, 12'",Oct,N,F,Tiger,adulto
329,2014.10.17,2014.0,Unprovoked,australia,13.0,1 m shark,Oct,N,F,Unspecified,joven
330,2014.10.05.b,2014.0,Unprovoked,usa,29.0,Blacktip shark,Oct,N,M,Unspecified,joven
331,2014.10.05.a,2014.0,Unprovoked,usa,15.0,Blacktip shark,Oct,N,M,Unspecified,joven
332,2014.10.02.b,2014.0,Unprovoked,usa,28.0,8' to 10' shark,Oct,N,M,Unspecified,joven
333,2014.10.02.a,2014.0,Unprovoked,australia,23.0,"2 white shark: 13' & 9""8""",Oct,N,M,White,joven
334,2014.09.09,2014.0,Unprovoked,australia,50.0,7' shark,Sep,Y,M,Unspecified,adulto
335,2014.09.06,2014.0,Unprovoked,usa,43.0,Bull shark,Sep,N,M,Bull,adulto
336,2014.09.03,2014.0,Boating,usa,,"White shark, 12' to 14'",Sep,N,F,White,
337,2014.09.02,2014.0,Provoked,usa,52.0,3' to 4' shark,Sep,N,M,Unspecified,adulto
338,2014.08.31,2014.0,Unprovoked,usa,13.0,Spinner shark,Aug,N,F,Unspecified,joven
339,2014.08.08,2014.0,Unprovoked,usa,7.0," Bull shark, 5'",Aug,N,M,Bull,joven
340,2014.08.06,2014.0,Unprovoked,usa,10.0,4' tp 5' shark,Aug,N,M,Unspecified,joven
341,2014.08.01,2014.0,Unprovoked,south africa,20.0,White shark,Aug,N,M,White,joven
342,2014.07.16,2014.0,Unprovoked,usa,61.0,6' to 8' shark,Jul,N,M,Unspecified,mayor
343,2014.07.14,2014.0,Unprovoked,usa,39.0,4' shark,Jul,N,M,Unspecified,adulto
344,2014.07.13,2014.0,Invalid,bahamas,63.0,Shark involvement not confirmed,Jul,,M,Unspecified,mayor
345,2014.07.03,2014.0,Unprovoked,usa,19.0,4' to 5' shark,Jul,N,M,Unspecified,joven
346,2014.06.09.b,2014.0,Unprovoked,usa,16.0," Sandbar shark, 3' to 4'",Jun,N,M,Unspecified,joven
347,2014.06.09.a,2014.0,Unprovoked,australia,39.0,"Bronze whaler shark, 1.5m",Jun,N,M,Unspecified,adulto
348,2014.06.01.c,2014.0,Unprovoked,usa,22.0,Bull shark,Jun,N,F,Bull,joven
349,2014.05.14,2014.0,Unprovoked,australia,35.0," white shark, 15' ",May,N,M,White,adulto
350,2014.05.06,2014.0,Unprovoked,usa,40.0,4' to 5' shark,May,N,F,Unspecified,adulto
351,2014.05.01,2014.0,Unprovoked,usa,23.0,3' shark,May,N,M,Unspecified,joven
